Fecha,NivelEmbalse
2024-04-17,5113530097.0
2024-04-18,5049165920.0
2024-04-19,4990454570.0
2024-04-20,4958518404.0
2024-04-21,4972789808.0
2024-04-22,5012661274.0
2024-04-23,5103676974.0
2024-04-24,5211827274.0
2024-04-25,5270972484.0
2024-04-26,5291655144.0
2024-04-27,5339970056.0
2024-04-28,5394389172.0
2024-04-29,5453835770.0
2024-04-30,5555188842.0
2024-05-01,5671877054.0
2024-05-02,5713511726.0
2024-05-03,5728267546.0
2024-05-04,5733863250.0
2024-05-05,5719319168.0
2024-05-06,5846910722.0
2024-05-07,5974989390.0
2024-05-08,5996685148.0
2024-05-09,5991190816.0
2024-05-10,6059530914.0
2024-05-11,6257176430.0
2024-05-12,6396533944.0
2024-05-13,6449275820.0
2024-05-14,6510785456.0
2024-05-15,6619144246.0
2024-05-16,6635149990.0
2024-05-17,6760918258.0
2024-05-18,6840018889.0
2024-05-19,6850443659.0
2024-05-20,6859712612.0
2024-05-21,6887009756.0
2024-05-22,6869292996.0
2024-05-23,6869330714.5
2024-05-24,6869296764.0
2024-05-25,6877113312.0
2024-05-26,6914954004.0
2024-05-27,6961244554.0
2024-05-28,6989233322.0
2024-05-29,6984353044.0
2024-05-30,7077228660.0
2024-05-31,7325017804.0
2024-06-01,7451752733.1
2024-06-02,7585116962.3
2024-06-03,7642364519.1
2024-06-04,7666619762.0
2024-06-05,7723572382.7
2024-06-06,7994160056.8
2024-06-07,8111456477.9
2024-06-08,8162841256.3
2024-06-09,8190213769.3
2024-06-10,8229554913.799999
2024-06-11,8327368942.9
2024-06-12,8400029222.0
2024-06-13,8525187820.2
2024-06-14,8554209954.9
2024-06-15,8560175914.4
2024-06-16,8626477209.7
2024-06-17,8816401575.8
2024-06-18,9166112165.2
2024-06-19,9250558189.6
2024-06-20,9284808348.6
2024-06-21,9343605467.9
2024-06-22,9425114924.6
2024-06-23,9477795520.3
2024-06-24,9545143759.7
2024-06-25,9638546120.5
2024-06-26,9651013535.300001
2024-06-27,9712766500.7
2024-06-28,9861989875.4
2024-06-29,9968483150.4
2024-06-30,10023562354.0
2024-07-01,10038546087.8
2024-07-02,10058564466.0
2024-07-03,10078315001.8
2024-07-04,10099097257.5
2024-07-05,10159436753.1
2024-07-06,10221287598.300001
2024-07-07,10302700251.1
2024-07-08,10403526212.6
2024-07-09,10426323336.4
2024-07-10,10392898361.1
2024-07-11,10385574690.8
2024-07-12,10348024636.800001
2024-07-13,10316939236.6
2024-07-14,10308737965.8
2024-07-15,10328694513.7
2024-07-16,10346314675.1
2024-07-17,10346523518.6
2024-07-18,10344636581.8
2024-07-19,10322484067.1
2024-07-20,10299013038.3
2024-07-21,10274579007.5
2024-07-22,10251246199.5
2024-07-23,10290466787.3
2024-07-24,10304583311.9
2024-07-25,10297282519.7
2024-07-26,10283297102.9
2024-07-27,10262712572.0
2024-07-28,10227838867.599998
2024-07-29,10253213179.9
2024-07-30,10346460776.6
2024-07-31,10340793547.7
2024-08-01,10323589476.4
2024-08-02,10298673701.1
2024-08-03,10243966243.199999
2024-08-04,10199277992.7
2024-08-05,10154600307.0
2024-08-06,10155041711.8
2024-08-07,10152768823.1
2024-08-08,10166842229.4
2024-08-09,10167162405.3
2024-08-10,10102975640.9
2024-08-11,10085639916.3
2024-08-12,10083308646.4
2024-08-13,10107963916.6
2024-08-14,10100844553.9
2024-08-15,10122657318.5
2024-08-16,10085389385.5
2024-08-17,10021921936.9
2024-08-18,9997685824.42
2024-08-19,9972890904.1
2024-08-20,9946493792.5
2024-08-21,9919397831.0
2024-08-22,9863094936.8
2024-08-23,9808703086.3
2024-08-24,9780223847.7
2024-08-25,9798030742.2
2024-08-26,9805789127.0
2024-08-27,9839956820.9
2024-08-28,9801807407.0
2024-08-29,9737680134.2
2024-08-30,9672845076.4
2024-08-31,9614211495.5
2024-09-01,9538244754.7
2024-09-02,9463121325.3
2024-09-03,9466961572.56
2024-09-04,9447040465.2
2024-09-05,9413005787.8
2024-09-06,9378643428.8
2024-09-07,9423953240.5
2024-09-08,9361075267.9
2024-09-09,9341174816.1
2024-09-10,9294491182.2
