Fecha,Demanda_kWh_0-7,Demanda_kWh_7-17,Demanda_kWh_17-23,Demanda_kWh_Dia
2022-10-25,53982123.95,95687481.23,66536562.72,216206167.9
2022-10-26,53284179.11,95724703.5,67048497.74,216057380.35
2022-10-27,53877073.55,96634947.57,67376596.69,217888617.81
2022-10-28,53637819.97,96661270.6,66410765.97,216709856.54
2022-10-29,52384897.95,91325184.04,63075287.3,206785369.29
2022-10-30,48621325.0,80619005.18,60101062.46,189341392.64
2022-10-31,51100619.31,96173814.4,65534727.21,212809160.92
2022-11-01,53614919.91,97204794.76,68925329.96,219745044.63
2022-11-02,55344649.38,98955621.43,67980442.83,222280713.64000002
2022-11-03,54023823.85,96009009.9,66705974.09,216738807.84
2022-11-04,53448399.5,96443685.47,66194058.62,216086143.59
2022-11-05,51859932.15,88812253.35,61102420.39,201774605.89
2022-11-06,46542150.21,74996677.8,56711745.39,178250573.4
2022-11-07,46121965.3,79885231.84,59867130.6,185874327.74
2022-11-08,50632137.57,94122317.97,65249735.24,210004190.78
2022-11-09,51862080.12,93282733.76,64335930.6,209480744.48
2022-11-10,51488075.48,94190150.01,66201518.12,211879743.61
2022-11-11,53154547.16,95573468.4,66385613.59,215113629.15
2022-11-12,52285227.21,90307884.99,62229821.9,204822934.1
2022-11-13,47726207.52,77323971.95,57513528.75,182563708.22
2022-11-14,46876153.85,81607278.74,60723867.63,189207300.22
2022-11-15,51080736.4,96283560.51,67341738.31,214706035.22
2022-11-16,53992719.82,97026557.32,67694961.41,218714238.55
2022-11-17,54202053.79,97212576.42,67513335.36,218927965.57
2022-11-18,53926194.79,95681253.14,66263498.22,215870946.15
2022-11-19,52626464.26,92593014.17,64829548.2,210049026.63
2022-11-20,50206168.52,82277360.18,60972950.83,193456479.53
2022-11-21,51875319.58,97762374.28,67685471.9,217323165.76
2022-11-22,54176929.38,98802561.99,67950550.27,220930041.64
2022-11-23,54221386.53,97896832.44,67486357.01,219604575.98
2022-11-24,53535330.44,98165598.58,67527994.35,219228923.37
2022-11-25,53625967.78,98246908.3,68166236.9,220039112.98
2022-11-26,54027948.42,93130495.3,64089314.82,211247758.54
2022-11-27,48958944.67,79207274.92,59548870.33,187715089.92
2022-11-28,50598984.79,96008563.12,65986573.45,212594121.36
2022-11-29,52189922.77,94851760.56,65896204.51,212937887.84
2022-11-30,52257603.83,95198124.72,66174340.51,213630069.06
2022-12-01,52203945.35,94197656.66,65585661.76,211987263.77
2022-12-02,52014044.78,95430385.44,66030031.94,213474462.16
2022-12-03,51736946.94,90625096.96,63259639.93,205621683.83
2022-12-04,49236274.45,79598375.55,59622323.93,188456973.93
2022-12-05,50269405.11,95551777.21,66122048.47,211943230.79
2022-12-06,52185642.59,95748278.56,66478742.71,214412663.86
2022-12-07,52356953.8,95740493.39,62939809.95,211037257.14
2022-12-08,49304656.35,82142191.55,60413510.44,191860358.34
2022-12-09,50605592.35,96438591.28,66521588.15,213565771.78
2022-12-10,52037142.45,92065469.33,63249481.1,207352092.88
2022-12-11,48794652.87,79723490.52,60347087.63,188865231.02
2022-12-12,50684367.61,95350818.47,66755216.74,212790402.82
2022-12-13,53200347.0,97032610.77,66884266.25,217117224.02
2022-12-14,53457022.39,97099589.8,67863431.51,218420043.7
2022-12-15,53506414.46,97261383.36,67952919.66,218720717.48
2022-12-16,54074496.06,98291527.44,67842904.17999999,220208927.68
2022-12-17,53687719.74,91338866.4,63402721.64,208429307.78
2022-12-18,50022550.87,81529038.24,60198789.26,191750378.37
2022-12-19,50834302.839999996,95355500.55,66548021.43,212737824.82
2022-12-20,53023569.93,95738337.47,66478605.5,215240512.9
2022-12-21,53478502.79,97074688.3,67488359.86,218041550.95
2022-12-22,53927472.08,97369327.27,67777904.09,219074703.44
2022-12-23,54204232.84,95175196.19,65847608.98,215227038.01
2022-12-24,51402674.77,82989002.15,58559334.65,192951011.57
2022-12-25,46453087.7,70624915.56,55423408.16,172501411.42
2022-12-26,47395818.74,90509590.27,64328779.26,202234188.27
2022-12-27,51307447.55,92992256.99,65651662.33,209951366.87
2022-12-28,51918896.15,93407076.1,65607430.75,210933403.0
2022-12-29,51950610.410000004,92151211.08,64658677.49,208760498.98
2022-12-30,51091583.01,89104896.9,62966360.94,203162840.85
2022-12-31,49555341.160000004,79967986.39,57473869.87,186997197.42
2023-01-01,46292507.26,67459792.91,52756655.97,166508956.14
2023-01-02,45956836.38,83725561.01,61078839.39,190761236.78
2023-01-03,49645953.53,88075297.18,62590662.49,200311913.2
2023-01-04,50659792.480000004,90113859.02,63746719.79,204520371.29
2023-01-05,51004604.15,90266878.19,64552943.53,205824425.87
2023-01-06,51798583.84,91813512.22,64691764.45,208303860.51
2023-01-07,51918452.71,86757544.08,61166186.39,199842183.18
2023-01-08,48644604.72,75502268.55,57160309.47,181307182.74
2023-01-09,47790472.85,79015869.6,58997523.14,185803865.59
2023-01-10,49586552.09,90925131.83,63911979.64,204423663.56
2023-01-11,51814664.1,93208059.17,64700781.0,209723504.27
2023-01-12,51648703.6,93250950.89,65273670.53,210173325.02
2023-01-13,52630954.07,96076250.76,66296068.17,215003273.0
2023-01-14,52650364.32,90094947.25,63227869.13,205973180.7
2023-01-15,49217851.07,78372558.5,59394738.54,186985148.11
2023-01-16,50586500.69,94034311.54,65575502.46,210196314.69
2023-01-17,52081269.86,96138718.99,65930726.2,214150715.05
2023-01-18,52756183.82,95269966.86,65695620.54,213721771.22
2023-01-19,52765787.99,95773817.37,66554275.11,215093880.47
2023-01-20,53058531.4,95760548.63,66188469.57,215007549.6
2023-01-21,52219596.04,89903825.17999999,63377949.41,205501370.63
2023-01-22,49328056.69,78669954.81,59967498.74,187965510.24
2023-01-23,51213661.6,95866807.74,66785669.0,213866138.34
2023-01-24,53899761.58,97028550.55,67288149.61,218216461.74
2023-01-25,54231815.42,97901685.94,67920610.82,220054112.18
2023-01-26,54447366.75,97705322.0,67756432.35,219909121.1
2023-01-27,53931226.37,97457978.57,67028008.44,218417213.38
2023-01-28,53078796.44,91214423.44,63521327.5,207814547.38
2023-01-29,49213044.01,78699295.22,59700277.01,187612616.24
2023-01-30,51194093.7,95677734.86,66551668.98,213423497.54
2023-01-31,53449353.71,96043839.78,66458610.269999996,215951803.76
2023-02-01,53297424.47,95809737.46,66209529.64,215316691.57
2023-02-02,52752087.47,95521764.04,66377932.14,214651783.65
2023-02-03,53415238.42,96720562.92,67054806.89,217190608.23
2023-02-04,53158420.49,91373334.96,63335460.11,207867215.56
2023-02-05,49321626.07,78340320.14,60101959.13,187763905.34
2023-02-06,52127704.71,96730068.7,67600638.09,216458411.5
2023-02-07,54236349.39,96837461.11,67347930.1,218421740.6
2023-02-08,54448250.83,97650427.15,67560846.59,219659524.57
2023-02-09,54970170.23,98553089.87,68242148.34,221765408.44
2023-02-10,54900751.55,98633385.73,68234482.16,221768619.44
2023-02-11,54379837.4,94132035.56,65385295.52,213897168.48
2023-02-12,51298469.35,82072893.63,61870769.6,195242132.58
2023-02-13,53015448.72,97010823.03,67632104.67999999,217658376.43
2023-02-14,54644259.41,98190183.26,68114533.69,220948976.36
2023-02-15,55468160.31,98443209.35,68096786.21,222008155.87
2023-02-16,55369945.44,97679926.07,67604435.91,220654307.42
2023-02-17,54734068.55,97786079.4,67289167.07,219809315.02
2023-02-18,53467516.59,91777706.72,63187101.85,208432325.16
2023-02-19,49182769.62,78342982.09,59240499.88,186766251.59
2023-02-20,51266285.97,94705118.86,66006026.089999996,211977430.92
2023-02-21,53469922.8,94693201.16,65977661.01,214140784.97
2023-02-22,53540170.28,95438925.22,65993627.72,214972723.22
2023-02-23,53495478.45,96439425.14,67375101.68,217310005.27
2023-02-24,54195809.730000004,97269697.21,67544021.93,219009528.87
2023-02-25,53640375.73,92340403.72,64086064.52,210066843.97
2023-02-26,50152562.089999996,80139221.33,60740997.55,191032780.97
